City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Puerto Cabezas,NI,84.49,clear sky,14.0351,-83.3888,Cabaña Caribe
599,Poso,ID,76.08,broken clouds,-1.3959,120.7524,Hotel 77 Poso
600,Wanparti,IN,84.99,overcast clouds,16.3667,78.0667,Vasanth
604,Progreso,MX,99.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
606,Ouegoa,NC,76.17,overcast clouds,-20.35,164.4333,
607,Juigalpa,NI,96.49,overcast clouds,12.1063,-85.3645,Ethos Inn
608,Takoradi,GH,79.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
609,Atar,MR,88.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
610,Santiago Del Estero,AR,75.94,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
613,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
620,Amapa,BR,75.72,overcast clouds,1.0,-52.0,
622,Bom Jesus Da Lapa,BR,79.41,light rain,-13.255,-43.4181,Hotel das Nações
624,Limbang,MY,78.91,scattered clouds,4.75,115.0,Purnama Hotel
625,Kilindoni,TZ,81.73,light rain,-7.9139,39.6668,Bustani B&B
628,Agua Dulce,MX,85.78,clear sky,18.1333,-94.1333,Hotel Victoria
629,Mana,GF,79.07,scattered clouds,5.6592,-53.7767,LE SAMANA
630,Nacogdoches,US,85.33,few clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
640,Puerto Escondido,MX,88.34,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
643,Merauke,ID,77.95,overcast clouds,-8.4667,140.3333,
647,Dwarka,IN,79.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
648,Tautira,PF,81.34,few clouds,-17.7333,-149.15,Pension Oaoa
649,Marigot,MF,79.75,clear sky,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
651,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
656,Birao,CF,89.64,overcast clouds,10.2849,22.7882,
658,Barra Patuca,HN,83.37,clear sky,15.8,-84.2833,
660,Lalmohan,BD,81.1,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
663,Grand Baie,MU,76.44,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
664,Coruripe,BR,80.6,moderate rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
666,Zorritos,PE,79.09,scattered clouds,-3.6805,-80.6782,Hotel Pinamar
669,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
673,Labuhan,ID,79.68,broken clouds,-6.8844,112.2051,DoubleFAG
674,Gasa,PS,88.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
675,Paragominas,BR,76.33,moderate rain,-2.9667,-47.4833,INOVA
676,Caravelas,BR,77.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
677,Galesong,ID,79.21,overcast clouds,-5.3166,119.3661,Sapriadi Appy
